hinta  tuotenimi                                linkki
   30  Bad Boy MMA Pro Style Safety Gloves      http://www.ufs.fi/bad-boy-mma-pro-style-safety-gloves-p-2131.html
   42  Fairtex MMA Sparring Gloves              http://www.ufs.fi/fairtex-mma-sparring-gloves-p-1068.html
   24  Bad Boy Elite Safety MMA Gloves SRQ      http://www.ufs.fi/bad-boy-elite-safety-mma-gloves-secondrate-quality-p-2209.html
   63  King vapaaotteluhanskat                  http://www.totalshop.fi/fi/shop/kamppailu/nyrkkeily-ja-mma-hanskat/show_pr/82/king-vapaaotteluhanskat-amateurprofessional_ggl-9
   59  Total Gear MMA hanskat                   http://www.totalshop.fi/fi/shop/kamppailu/nyrkkeily-ja-mma-hanskat/show_pr/1707/total-gear-mma-hanskat

    6  Bad Boy Hand Wraps Stretch 2x2,5m        http://www.ufs.fi/bad-boy-hand-wraps-stretch-red-pair-p-1520.html
 
   47  Twins Shin Guards                        http://www.ufs.fi/twins-shin-guards-sgl2-p-1056.html
   42  Bad Boy MMA Shin Guards                  http://www.ufs.fi/bad-boy-mma-shin-guards-p-2135.html
   55  Venum MMA Shinguards Urban Camo          http://www.ufs.fi/venum-competition-mma-shinguards-urban-camo-p-2183.html
   58  Säärisuojat KING-MMA                     http://www.totalshop.fi/fi/shop/kamppailu/saari-ja-kyynarpaasuojat/show_pr/70/saarisuojat-king-mma_kpsgn

   12  Bad Boy Pro Series Mouth Guard Black     http://www.ufs.fi/bad-boy-pro-series-mouth-guard-black-p-1880.html
   11  Hammassuojat kotelolla                   http://www.totalshop.fi/fi/shop/kamppailu/hammassuojat/show_pr/28/hammassuojat-kotelolla
